fid,ID,LIVE,MAKE,SHOP,y2,p_land,mh01,mh02,mh03,mh04,mh06,mh07,ALAND
20803,52371344952,10572,,,67696,67696,,,,,,,1
20804,52371344953,9280,565,,46523,48818,,,,,,,1
20805,52371344954,106,9432,,46428,48718,,,,,,,1
20806,52371344955,,8116,,46382,48669,,,,,,,1
20807,52371344956,,7477,,46297,48580,,,,,,,1
20808,52371344957,,4801,,46174,48451,,,,,,,1
20809,52371344958,,,,48283,48283,,,,,,,1
20810,52371344959,,,,48078,48078,,,,,,,1
20811,52371345950,,,,47838,47838,,,,,,,0
20812,52371344961,10560,,,66877,66877,,,,,,,1
20813,52371344962,6149,,,66655,66655,,,,,,,1
20814,52371344963,851,,,66382,66382,,,,,,,0
20815,52371344964,,123,,45701,47955,,,,,,,0
20816,52371344965,,,,47908,47908,,,,,,,1
20817,52371344966,,,,47823,47823,,,,,,,1
20818,52371344967,,,,47700,47700,,,,,,,0
20819,52371344968,,,,47541,47541,,,,,,,1
20820,52371344969,,,,47345,47345,,,,,,,1
20821,52371345960,,,,47116,47116,,,,,,,0
20822,52371344971,4878,,,65839,65839,,,,,,,0
20823,52371344972,,,,47527,47527,,,,,,,1
20824,52371344973,,,,47339,47339,,,,,,,1
20825,52371344974,,,,47202,47202,,,,,,,1
20826,52371344975,,,,47158,47158,,,,,,,1
20827,52371344976,,,,47077,47077,,,,,,,1
20828,52371344977,,,,46960,46960,,,,,,,0
20829,52371344978,,,,46808,46808,,,,,,,1
20830,52371344979,,,,46622,46622,,,,,,,1
20831,52371345970,,,,46402,46402,,,,,,,1
20832,52371344981,,,,46946,46946,,,,1,,,1
20833,52371344982,,,,46795,46795,,,,1,,,0
20834,52371344983,,,,46615,46615,,,,,,,0
20835,52371344984,,,,46463,46463,,,,,,,0
20836,52371344985,,,,46421,46421,,,,,,,0
20837,52371344986,,,,46343,46343,,,,,,,1
20838,52371344987,,,,46232,46232,,,,,,,1
20839,52371344988,,,,46086,46086,,,,,,,1
20840,52371344989,,,,45909,45909,,,,,,,1
20841,52371345980,,,,45699,45699,,,,,,,1
20842,52371344991,,,,46240,46240,,,,1,,,0
