"","ID","original","if_jukyo","if_shogyo","if_kogyo"
"2145",52370219981,795089928.930107,79508.9928930107,114311.388248372,55362.2280577948
"2146",52370219982,788287726.926825,78828.7726926825,113333.424466102,54888.5897372747
"2147",52370219983,780229618.658186,78022.9618658186,112174.896972133,54327.5024797829
"2148",52370219984,771056586.436215,77105.6586436215,110856.0750256,53688.7829043285
"2149",52370219985,760912547.984521,76091.2547984521,109397.649914596,52982.452023059
"2150",52370219986,749938598.387097,74993.8598387097,107819.907111669,52218.3343073123
"2151",52370219987,742104874.136572,73826.880570818,106142.121803165,51405.7649360126
"2152",52370219988,726096068.64261,72602.7478422629,104382.166023199,50553.3995264486
"2153",52370219989,713327666.457164,71332.7666457164,102556.293145876,49669.1097615546
"2154",52370219990,845113124.045486,81753.9976057823,117539.068489353,56925.4281233086
"2155",52370219991,811671743.837199,81167.1743837199,116695.383080576,56516.8222553768
"2156",52370219992,804323218.039365,80432.3218039365,115638.873426807,56005.1433291254
"2157",52370219993,795648251.748615,79564.8251748615,114391.659239303,55401.1041573194
"2158",52370219994,785810129.011749,78581.0129011749,112977.216134329,54716.074232023
"2159",52370219995,774972908.73331,77497.290873331,111419.131130726,53961.4769987581
"2160",52370219996,763294806.692937,76329.4806692937,109740.151171645,53148.3290454047
"2161",52370219997,750923690.193462,75092.3690193462,107961.535382686,52286.9263938895
"2162",52370219998,737994444.830433,73799.4444830433,106102.676488019,51386.6611479614
"2163",52370219999,724627817.771379,72462.7817771378,104180.934506738,50455.9409505585
"2164",52370224909,943343743.484697,94334.3743484696,135626.083276211,65685.1628519176
"2165",52370224919,934206946.58113,93420.694658113,134312.470941069,65048.9663469843
"2166",52370224929,923558167.091375,92355.8167091375,132781.478379935,64307.4902734007
"2167",52370224988,820241907.634878,82024.1907634878,117927.529641088,57113.5640142596
"2168",52370224989,841172586.13584,84117.258613584,120936.767752863,58570.970220038
"2169",52370224996,777252542.066388,77725.2542066388,111746.877768584,54120.2082012068
"2170",52370224997,796118246.727114,79611.8246727114,114459.231191238,55433.8299764236
"2171",52370224998,814300578.032826,81430.0578032826,117073.334901424,56699.8683649663
"2172",52370224999,826863437.146257,82686.3437146257,118879.517841708,57574.6220827396
"2173",52370225900,966395129.969908,96639.5129969908,138940.219066763,67290.2342648582
"2174",52370225901,989094212.769735,98909.4212769735,142203.703576376,68870.7747206502
"2175",52370225902,1010865279.80837,101086.527980837,145333.765731966,70386.6973032394
"2176",52370225903,1030693488.07446,103069.348807446,148184.499882787,71767.3383452937
"2177",52370225904,1046830475.09903,104683.047509903,150504.541077883,72890.9591123453
"2178",52370225905,1056662288.00894,105666.228800894,151918.077008646,73575.5496834678
"2179",52370225906,1058409005.70742,105840.900570742,152169.205488238,73697.1738923245
"2180",52370225907,1057653372.93345,105765.337293345,152060.566920127,73644.5590717381
"2181",52370225908,1049492608.23428,104949.260823428,150887.28034211,73076.3238319719
"2182",52370225909,1034428886.90011,103442.888690011,148721.544322523,72027.4347119408
"2183",52370225910,955784704.508466,95578.4704508466,137414.740727432,66551.4287878764
"2184",52370225911,976648787.108735,97664.8787108735,140414.40423691,68004.1979113479
"2185",52370225912,996154321.591228,99615.4321591228,143218.74704656,69362.371130649
"2186",52370225913,1013302259.32727,101330.225932727,145684.134290039,70556.3845436234
"2187",52370225914,1026643005.34302,102664.300534302,147602.15531111,71485.3026401953
"2188",52370225915,1034409030.04238,103440.903004238,148718.68946939,72026.0520760321
"2189",52370225916,1035754333.46291,103575.433346291,148912.105957288,72119.725749996
"2190",52370225917,1035173723.20939,103517.372320939,148828.630665127,72079.2977731109
"2191",52370225918,1028776311.81632,102877.631181632,147908.864295401,71633.8450819931
"2192",52370225919,1016446917.85632,101644.691785632,146136.247024642,70775.3475770047
"2193",52370225920,943606064.197941,94360.6064197941,135663.797557082,65703.4282815533
"2194",52370225921,962656975.289738,96265.6975289738,138402.778413286,67029.9460076577
"2195",52370225922,980069901.278474,98006.9901278474,140906.263454175,68242.4105914301
"2196",52370225923,994953752.687715,99495.3752687715,143046.139278489,69278.7753422772
"2197",52370225924,1006173792.28498,100617.379228498,144659.262845896,70060.0283407112
"2198",52370225925,1012525798.92537,101252.579892537,145572.501299568,70502.3194922584
"2199",52370225926,1013610865.54785,101361.086554785,145728.503114512,70577.8728399057
"2200",52370225927,1013143150.58812,101314.315058812,145661.25896463,70545.3057788423
"2201",52370225928,1007933020.35009,100793.302035009,144912.189961497,70182.5236482259
"2202",52370225929,997630089.759843,99763.0089759843,143430.920666108,69465.1290841063
"2203",52370225930,930220533.471829,93022.0533471829,133739.337764462,64771.391819048
"2204",52370225931,947562826.854581,94756.2826854581,136232.667839289,65978.9382441335
"2205",52370225932,963114402.911712,96311.4402911712,138468.543535681,67061.7967598886
"2206",52370225933,976119705.889862,97611.9705889862,140338.337358907,67967.3579086833
"2207",52370225934,985707237.779272,98570.7237779272,141716.752605128,68634.9391566147
"2208",52370225935,991037934.528284,99103.7934528284,142483.155654064,69006.1163510271
"2209",52370225936,991940801.605477,99194.0801605477,142612.96234038,69068.9831176841
"2210",52370225937,991551908.999425,99155.1908999425,142557.050610072,69041.9044686372
"2211",52370225938,987191098.442688,98719.1098442688,141930.089695978,68738.2605916687
"2212",52370225939,978425012.88281,97842.501288281,140669.775141117,68127.8767718244
"2213",52370225940,915923917.215774,91592.3917215774,131683.889705042,63775.9163378184
"2214",52370225941,931699862.979271,93169.9862979271,133952.023403557,64874.3977490487
"2215",52370225942,945624874.756853,94562.4874756853,135954.045275237,65843.9983560835
"2216",52370225943,957074106.592599,95707.4106592599,137600.12018815,66641.2100436094
"2217",52370225944,965379279.885464,96537.9279885464,138794.168627461,67219.500474879
"2218",52370225945,969940586.499084,96994.0586499084,139449.955189782,67537.1049216169
"2219",52370225946,970708836.916509,97070.8836916509,139560.407817268,67590.5983105625
"2220",52370225947,970378083.194993,97037.8083194993,139512.854810119,67567.5678805504
"2221",52370225948,966653214.1489,96665.32141489,138977.324254129,67308.2047039941
"2222",52370225949,959082262.616195,95908.2262616195,137888.836086219,66781.038241287
"2223",52370225951,915371023.251442,91537.1023251442,131604.399229415,63737.4182502042
"2224",52370225952,927888860.946414,92788.8860946414,133404.109366236,64609.0371200244
"2225",52370225953,938046205.962131,93804.6205962131,134864.44758386,65316.2945392933
"2226",52370225954,945326866.398486,94532.6866398486,135911.200122865,65823.2479904976
"2227",52370225955,949290888.004971,94929.0888004971,136481.114036243,66099.2633948174
"2228",52370225956,949955973.22695,94995.597322695,136576.734433712,66145.573376113
"2229",52370225957,949669725.637098,94966.9725637098,136535.580146394,66125.641914559
"2230",52370225958,946436537.927567,94643.6537927567,136070.739425746,65900.5145813911
"2231",52370225959,939813727.463156,93981.3727463156,135118.567060399,65439.3673199642
"2232",52370225961,885803896.579881,88580.3896579881,127353.484743692,61678.6548949604
"2233",52370225962,910054464.138965,91005.4464138965,130840.028771762,63367.2254614919
"2234",52370225963,919129425.62543,91912.942562543,132144.750927172,63999.116357287
"2235",52370225964,925575787.74889,92557.578774889,133071.555024006,64447.9774949226
"2236",52370225965,929063272.425326,92906.3272425326,133572.956438303,64690.8115630949
"2237",52370225966,929646784.056921,92964.6784056921,133656.848866366,64731.4415633594
"2238",52370225967,929395700.84864,92939.570084864,133620.750220087,64713.9586028381
"2239",52370225968,926553678.932614,92655.3678932614,133212.14804965,64516.068201092
"2240",52370225969,920699070.652104,92069.9070652104,132370.421377177,64108.4109701033
"2241",52370225970,863469886.774255,86346.9886774255,124142.487379571,60123.5345251578
"2242",52370225971,881973173.376929,88197.3173376929,126802.735361274,61411.9210779776
"2243",52370225972,892217636.814036,89221.7636814036,128275.598737787,62125.2445656717
"2244",52370225973,900376654.271055,90037.6654271055,129448.634111924,62693.3581447115
"2245",52370225974,906132059.311084,90613.2059311084,130276.098171169,63094.107839554
"2246",52370225975,909230786.470434,90923.0786470434,130721.60727712,63309.8726649439
"2247",52370225976,909748181.751862,90974.8181751862,130795.994048655,63345.8989740747
"2248",52370225977,909525583.897957,90952.5583897957,130763.990788677,63330.3994529454
"2249",52370225978,907002013.303943,90700.2013303943,130401.172889156,63154.6828633343
"2250",52370225979,917806898.939523,91780.6898939523,131954.609087915,63907.0286306871
"2251",52370225980,854183449.091052,85418.3449091052,122807.360943147,59476.9185108489
"2252",52370225981,865176779.491702,86517.6779491702,124387.890156065,60242.3857147593
"2253",52370225982,874503548.277069,87450.3548277069,125728.815061455,60891.8099896116
"2254",52370225983,881882375.947814,88188.2375947814,126789.681265387,61405.5988397064
"2255",52370225984,887058946.715551,88705.8946715551,127533.925368217,61766.0442194968
"2256",52370225985,889835692.402601,88983.5692402601,127933.142667732,61959.3894278707
"2257",52370225986,890298593.279714,89029.8593279714,127999.694689031,61991.6212836576
"2258",52370225987,890099463.7762,89009.94637762,127971.065512431,61977.7558671992
"2259",52370225988,897990080.195743,89799.0080195743,129105.51242747,62527.1806427376
"2260",52370225989,922062160.867743,92206.2160867744,132566.395101894,64203.3231412122
"2261",52370225990,838315720.897534,83831.5720897534,120526.031533542,58372.0462755902
"2262",52370225991,848424424.446166,84842.4424446166,121979.376487352,59075.9167823907
"2263",52370225992,856949054.374481,85694.9054374481,123204.97656849,59669.488011289
"2264",52370225993,863656736.012821,86365.6736012821,124169.351002259,60136.5448649717
"2265",52370225994,868341844.408862,86834.1844408862,124842.936750686,60462.7696479294
"2266",52370225995,870847608.658767,87084.7608658767,125203.194602795,60637.2463791955
"2267",52370225996,871264816.645628,87126.4816645628,125263.177282025,60666.2966323502
"2268",52370225997,876266736.480978,87626.6736480978,125982.311532733,61014.5810421704
"2269",52370225998,900016729.774457,90001.6729774457,129396.887174409,62668.2965493633
"2270",52370225999,924400510.074585,92440.0510074585,132902.583417602,64366.1427385402
"2271",52370226900,1015194395.7325,101519.43957325,145956.169856543,70688.1342783031
"2272",52370226901,993724270.51138,99372.4270511381,142869.374601577,69193.1663184894
"2273",52370226902,971159791.315873,97115.9791315873,139625.24227379,67621.9983313562
"2274",52370226903,948148170.280228,94814.8170280229,136316.823627399,66019.6957924859
"2275",52370226904,925061561.755958,92506.1561755958,132997.623906297,64412.1718638133
"2276",52370226905,922883930.515737,92288.3930515737,132684.542277282,64260.5430820111
"2277",52370226906,927447103.922788,92744.7103922788,133340.597231569,64578.2775138487
"2278",52370226907,928922682.463665,92892.2682463665,133552.743588024,64681.0222634988
"2279",52370226908,928920608.555194,92892.0608555194,133552.445418789,64680.8778569486
"2280",52370226909,927219587.347456,92721.9587347456,133307.886798913,64562.4355014271
"2281",52370226910,999956239.069835,99995.6239069835,143765.354982558,69627.099200832
"2282",52370226911,980844627.008546,98084.4627008547,141017.647048023,68296.3548573426
"2283",52370226912,960200105.495293,96020.0105495293,138049.550197546,66858.8738044776
"2284",52370226913,938730662.012132,93873.0662012132,134962.852957169,65363.9533141777
"2285",52370226914,934026130.994526,93402.6130994526,134286.474786459,65036.3761312392
"2286",52370226915,942361290.563957,94236.1290563957,135484.834402126,65616.7545113325
"2287",52370226916,947536055.052989,94753.6055052989,136228.818813292,65977.0741196725
"2288",52370226917,949216121.933368,94921.6121933368,136470.364795021,66094.0574223148
"2289",52370226918,949213759.130682,94921.3759130682,136470.025090988,66093.8929000181
"2290",52370226919,947277324.042633,94727.7324042633,136191.620629916,65959.058641574
"2291",52370226920,983408350.757751,98340.8350757751,141386.23783278,68474.8673170232
"2292",52370226921,966439113.8496,96643.91138496,138946.542701568,67293.2968688351
"2293",52370226922,947668375.389416,94766.8375389416,136247.842725934,65986.2876040539
"2294",52370226923,940249570.965465,94024.9570965465,135181.22899837,65469.7151667855
"2295",52370226924,952612556.087592,95261.2556087592,136958.675725819,66330.5516293065
"2296",52370226925,962078949.164946,96207.8949164946,138319.674645568,66989.6979640343
"2297",52370226926,968014979.303772,96801.4979303772,139173.107472677,67403.0246109279
"2298",52370226927,969952898.921726,96995.2898921726,139451.725367058,67537.9622374065
"2299",52370226928,969950170.654592,96995.0170654592,139451.3331196,67537.7722677669
"2300",52370226929,967717035.880592,96771.7035880592,139130.271656144,67382.2787667885
"2301",52370226930,966056835.134466,96605.6835134466,138891.581861248,67266.6787459803
"2302",52370226931,950967502.975782,95096.7502975782,136722.163731249,66216.0063404916
"2303",52370226932,940959439.730928,94095.9439730928,135283.287999625,65519.1434327649
"2304",52370226933,957170957.010337,95717.0957010337,137614.044532178,66647.9537523638
"2305",52370226934,971125017.92602,97112.501792602,139620.242846274,67619.577055134
"2306",52370226935,981988189.786046,98198.8189786046,141182.058951493,68375.9813008211
"2307",52370226936,988895406.743796,98889.5406743796,142175.12090668,68856.9318279825
"2308",52370226937,991168412.900062,99116.8412900062,142501.914744416,69015.2015791404
"2309",52370226938,991165207.43406,99116.520743406,142501.45388929,69014.9783820738
"2310",52370226939,988546782.828383,98854.6782828383,142124.99867233,68832.6570937553
"2311",52370226940,948232101.809721,94823.2101809721,136328.890601593,66025.539957162
"2312",52370226941,936043966.070544,93604.3966070544,134576.582257831,65176.8782827529
"2313",52370226942,955453303.7446,95545.33037446,137367.094693938,66528.3533042109
"2314",52370226943,973473670.541293,97347.3670541293,139957.912499978,67783.1140802982
"2315",52370226944,989311461.645039,98931.1461645039,142234.937804893,68885.9017916169
"2316",52370226945,1001919451.48063,100191.945148063,144047.609263412,69763.7979681758
"2317",52370226946,1010097865.42611,101009.786542611,145223.433302632,70333.2621275445
"2318",52370226947,1012821694.37276,101282.169437276,145615.042675249,70522.9227355434
"2319",52370226948,1012817842.19534,101281.784219534,145614.488841358,70522.6545078663
"2320",52370226949,1009681620.13333,100968.162013333,145163.589031514,70304.2789069194
"2321",52370226950,930213286.553905,93021.3286553905,133738.29586314,64770.8872150928
"2322",52370226951,947692463.772345,94769.2463772345,136251.305952411,65987.9648816808
"2323",52370226952,968808902.116412,96880.8902116412,139287.251062695,67458.3055725078
"2324",52370226953,988820393.448743,98882.0393448743,142164.336121736,68851.708641275
"2325",52370226954,1006871168.63936,100687.116863936,144759.525792639,70108.5867582792
"2326",52370226955,1021685262.22025,102168.526222025,146889.372419111,71140.0942613344
"2327",52370226956,1031586258.43748,103158.625843748,148312.854947882,71829.5020762658
"2328",52370226957,1034948021.13517,103494.802113517,148796.181106284,72063.5821046669
"2329",52370226958,1034943242.90502,103494.324290502,148795.494132267,72063.2493958027
"2330",52370226959,1031075609.64618,103107.560964618,148239.438130341,71793.9455262295
"2331",52370226960,934761173.610944,93476.1173610944,134392.153073715,65087.557256143
"2332",52370226961,957800094.739159,95780.0094739159,137704.496699366,66691.7607044524
"2333",52370226962,980614556.901807,98061.4556901807,140984.569489952,68280.3350421554
"2334",52370226963,1002729397.42151,100272.939742151,144164.05652496,69820.1946225189
"2335",52370226964,1023314329.33926,102331.432933926,147123.586081174,71253.5264431324
"2336",52370226965,1040924128.94134,104092.412894134,149655.375965618,72479.6993654007
"2337",52370226966,1053254958.00192,105325.495800192,151428.199563152,73338.2967966524
"2338",52370226967,1057585164.78734,105758.516478734,152050.760522653,73639.8097285476
"2339",52370226968,1057578950.33923,105757.895033923,152049.867061214,73639.377015616
"2340",52370226969,1052604412.97514,105260.441297514,151334.669633488,73292.9992512754
"2341",52370226970,941733391.842734,94173.3391842734,135394.5603691,65573.0338315242
"2342",52370226971,965969346.410955,96596.9346410955,138879.003463413,67260.5868933643
"2343",52370226972,990337160.515931,99033.7160515931,142382.404220439,68957.3213540371
"2344",52370226973,1014503527.04442,101450.352704442,145856.842527698,70640.0289904911
"2345",52370226974,1037806729.51517,103780.672951517,149207.182317121,72262.6343873406
"2346",52370226975,1058856130.81803,105885.613081803,152233.489401611,73728.3072791823
"2347",52370226976,1074736634.42282,107473.663442282,154516.65555313,74834.0690681965
"2348",52370226977,1080689410.44244,108068.941044244,155372.495963094,75248.5617332192
"2349",52370226978,1080680680.55858,108068.068055858,155371.240853318,75247.9538701293
"2350",52370226979,1073862971.89549,107386.297189549,154391.047653035,74773.2358186185
"2351",52370226980,946691368.002954,94669.1368002954,136107.376765278,65918.2584368171
"2352",52370226981,971844216.971717,97184.4216971717,139723.643277281,67669.6549898909
"2353",52370226982,997448878.579642,99744.8878579642,143404.867636355,69452.5113231211
"2354",52370226983,1023351336.69072,102335.133669072,147128.906689027,71256.1032704275
"2355",52370226984,1049198509.48219,104919.850948219,150844.99728027,73055.8456928432
"2356",52370226985,1074072071.16708,107407.207116708,154421.110199606,74787.7954314866
"2357",52370226986,1095164017.27446,109516.401727446,157453.534020694,76256.4307242902
"2358",52370226987,1104298399.89647,110429.839989647,158766.799250601,76892.4591224452
"2359",52370226988,1104284127.732,110428.4127732,158764.747318015,76891.4653495456
"2360",52370226989,1093903733.03818,109390.373303818,157272.340880905,76168.6769485623
"2361",52370226990,949430345.105319,94943.0345105319,136501.164013185,66108.9738131145
"2362",52370226991,975115469.77592,97511.546977592,140193.956679267,67897.432801169
"2363",52370226992,1001458608.156,100145.8608156,143981.353059823,69731.7093800696
"2364",52370226993,1028447314.89377,102844.731489377,147861.563866132,71610.9369781497
"2365",52370226994,1056028318.90239,105602.831890239,151826.930226326,73531.4063218412
"2366",52370226995,1084008172.77471,108400.817277471,155849.639888158,75479.6476398868
"2367",52370226996,1111437785.70219,111143.778570219,159793.240503342,77389.5756004527
"2368",52370226997,1128452435.73769,112845.243573769,162239.464754649,78574.3081713414
"2369",52370226998,1128415901.97399,112841.590197399,162234.212235286,78571.7643200305
"2370",52370226999,1109550063.0769,110955.00630769,159521.839513248,77258.133197916
"2371",52370227900,922441781.485875,92244.1781485875,132620.973783232,64229.756180384
"2372",52370227901,914845433.548194,91484.5433548194,131528.834332362,63700.8213622833
"2373",52370227902,904796448.810745,90479.6448810745,130084.075250367,63001.1090850412
"2374",52370227903,892707053.39471,89270.705339471,128345.962965446,62159.3227137763
"2375",52370227904,878985051.01668,87898.505101668,126373.128089408,61203.8576809286
"2376",52370227905,864001756.764372,86400.1756764372,124218.955203808,60160.568710372
"2377",52370227906,848077312.846613,84807.7312846613,121929.471681143,59051.7473509381
"2378",52370227907,831478037.083143,83147.8037083143,119542.966472866,57895.9373513723
"2379",52370227908,814420411.009606,81442.0411009606,117090.563485809,56708.2123526687
"2380",52370227909,798741941.351358,79874.1941351358,114836.444087446,55616.5182169059
